source_wallet,txn_count,No_Days_Active,initial_funding,Last_txn_out,current_balance,first_transaction_date,last_trasaction_date
0x3309d7d81a3e3e024ee99a0c4188820f2bd02d56,3,1,9.9,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,13.58895803842075,2022-12-30 00:00:00,2022-12-30 00:00:00
0xd5bfb9e531376c86f41e2aeaee7b0afc89988af0,15,3,0.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.018172892013199,2021-10-25 00:00:00,2023-01-01 00:00:00
0x1f6bac10115921a26a15877e59adf8b7432f6979,1,1,17.2,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9687891473298604,2022-12-31 00:00:00,2022-12-31 00:00:00
0x206ab81db1d7e5ef888824a26033bb801eddabfe,2,1,3.02,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0155180657196861,2022-12-27 00:00:00,2022-12-27 00:00:00
0xca86dec6432a989dd6a6add2a0276870b43a4218,1,1,0.25,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.7123838082498412,2022-12-23 00:00:00,2022-12-23 00:00:00
0x8039b0cefba11bf79c55a264e9aa9c2ddbc2199f,1,1,18.4,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9189294471505156,2023-01-01 00:00:00,2023-01-01 00:00:00
0xd2f31955b7b791bd3c6a83b81c8cd056694938cb,3,1,1.0,0xaae35d6b490a6fd91cd43cecbe2cc373abbea577,0.0,2022-12-31 00:00:00,2022-12-31 00:00:00
0x8e7491cd081ccf9f47b0014bad560752dfdb883e,1,1,0.485,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.0098637737927476,2023-01-01 00:00:00,2023-01-01 00:00:00
0x6d96bc958f93108233ccfb1006127bf91b1d28d4,3,1,22.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.9943320757858668,2022-12-17 00:00:00,2022-12-17 00:00:00
0xe18c766e513171dbbec256f02f5674909df4b786,2,1,10.087966,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,6.083617494154639,2022-12-23 00:00:00,2022-12-23 00:00:00
0xaa19dd3fc67ccbbba25ef76d1f8e72989e06f921,4,1,0.0,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.3860203907336492,2022-12-19 00:00:00,2022-12-19 00:00:00
0x53f08f7937fae846bcd649ec349035338cf1ddc4,2,1,5.273,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,0.1354419076943713,2022-12-31 00:00:00,2022-12-31 00:00:00
0xb8c1a79a67efd909c9987dd44cd043598594b3c7,2,1,18.254148,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,2.9847925812651788,2022-12-24 00:00:00,2022-12-24 00:00:00
0x83dfa73e0dadc5f2024802092fdbfca071bc6b3e,4,2,10.979,0xebdb4156203c8b35b7a7c6f320786b98e5ac67c3,5.86035274574227,2022-02-17 00:00:00,2022-12-15 00:00:00
0x2c6d818b97f2730084cfc1b610afde6467223d81,202,23,83.99,0xc037545bf624d818799f21488489ed54502a0d53,313.9382387746673,2022-04-07 00:00:00,2023-01-09 00:00:00
